li_id,county,town,village,DPP_2010,KMT_2010,Other_2010,vaild_vote_2010,invaild_vote_2010,turnout_2010,num_voter_2010
6401200-007,高雄市,鳳山區,鳳崗里,304,158,395,857,5,862,1162
6401200-010,高雄市,鳳山區,縣衙里,232,156,227,615,8,623,878
6401200-041,高雄市,鳳山區,曹公里,638,241,520,1399,14,1413,2026
6401200-012,高雄市,鳳山區,鎮西里,1766,645,1285,3696,27,3723,4907
6401200-053,高雄市,鳳山區,北門里,1310,475,1049,2834,27,2861,4025
6401200-009,高雄市,鳳山區,鎮北里,1664,488,1070,3222,31,3253,4658
6401200-058,高雄市,鳳山區,武松里,986,323,636,1945,26,1971,2582
6401200-024,高雄市,鳳山區,忠誠里,1112,353,646,2111,18,2129,2789
6401200-011,高雄市,鳳山區,文英里,1078,360,847,2285,19,2304,3050
6401200-056,高雄市,鳳山區,文華里,1838,1321,1928,5087,44,5131,7356
6401200-048,高雄市,鳳山區,文山里,2032,516,1285,3833,41,3874,5431
6401200-039,高雄市,鳳山區,文德里,1949,860,1948,4757,30,4787,7151
6401200-059,高雄市,鳳山區,文衡里,1036,371,933,2340,15,2355,3337
6401200-060,高雄市,鳳山區,文福里,1857,804,2020,4681,34,4715,7058
6401200-002,高雄市,鳳山區,成功里,279,97,154,530,6,536,729
6401200-001,高雄市,鳳山區,縣口里,135,82,109,326,1,327,453
6401200-003,高雄市,鳳山區,光明里,450,175,315,940,4,944,1327
6401200-006,高雄市,鳳山區,和德里,491,200,413,1104,7,1111,1500
6401200-046,高雄市,鳳山區,和興里,1578,621,1243,3442,28,3470,4909
6401200-005,高雄市,鳳山區,南興里,322,104,232,658,3,661,938
6401200-051,高雄市,鳳山區,三民里,317,166,258,741,7,748,1005
6401200-021,高雄市,鳳山區,新興里,580,192,373,1145,13,1158,1922
6401200-042,高雄市,鳳山區,興仁里,1119,479,1019,2617,31,2648,3726
6401200-004,高雄市,鳳山區,興中里,229,90,204,523,5,528,732
6401200-047,高雄市,鳳山區,協和里,1013,639,978,2630,26,2656,3781
6401200-019,高雄市,鳳山區,忠義里,1241,537,1098,2876,18,2894,4172
6401200-044,高雄市,鳳山區,忠孝里,1599,762,1520,3881,35,3916,5389
6401200-008,高雄市,鳳山區,中和里,879,599,871,2349,18,2367,3226
6401200-052,高雄市,鳳山區,誠正里,22,263,208,493,6,499,755
6401200-020,高雄市,鳳山區,誠義里,814,436,844,2094,10,2104,2834
6401200-045,高雄市,鳳山區,生明里,470,386,537,1393,10,1403,1834
6401200-013,高雄市,鳳山區,鎮東里,657,291,526,1474,16,1490,2128
6401200-018,高雄市,鳳山區,瑞竹里,1449,774,1381,3604,25,3629,4858
6401200-031,高雄市,鳳山區,瑞興里,1054,630,1216,2900,25,2925,4070
6401200-030,高雄市,鳳山區,東門里,1188,987,1281,3456,30,3486,5050
6401200-050,高雄市,鳳山區,誠德里,486,459,569,1514,19,1533,2020
6401200-061,高雄市,鳳山區,誠信里,289,392,515,1196,16,1212,1775
6401200-062,高雄市,鳳山區,誠智里,589,395,695,1679,20,1699,2396
6401200-035,高雄市,鳳山區,鳳東里,1559,676,1107,3342,23,3365,4577
6401200-014,高雄市,鳳山區,埤頂里,1560,963,1260,3783,32,3815,5174
6401200-015,高雄市,鳳山區,中正里,227,268,380,875,7,882,1241
6401200-022,高雄市,鳳山區,海光里,603,975,945,2523,19,2542,3766
6401200-023,高雄市,鳳山區,海風里,58,841,434,1333,12,1345,1883
6401200-034,高雄市,鳳山區,國泰里,1210,565,971,2746,22,2768,3840
6401200-037,高雄市,鳳山區,國光里,1042,494,783,2319,22,2341,3374
6401200-038,高雄市,鳳山區,國隆里,978,243,562,1783,18,1801,2610
6401200-063,高雄市,鳳山區,國富里,752,331,640,1723,17,1740,2335
6401200-064,高雄市,鳳山區,武慶里,832,235,494,1561,14,1575,2192
6401200-026,高雄市,鳳山區,武漢里,1536,463,968,2967,28,2995,4126
