li_id,DPP_2014,KMT_2014,Other_2014,Third_2014,vaild_vote_2014,invaild_vote_2014,turnout_2014,num_voter_2014
6401200-001,170,130,5,0,305,1,306,422
6401200-002,266,167,3,0,436,3,439,645
6401200-003,559,302,8,0,869,11,880,1325
6401200-004,357,234,4,0,595,12,607,845
6401200-005,409,253,4,0,666,11,677,924
6401200-006,804,501,16,0,1321,22,1343,1889
6401200-007,396,365,11,0,772,11,783,1138
6401200-008,1182,1009,23,0,2214,47,2261,3322
6401200-009,2476,1069,37,0,3582,50,3632,5922
6401200-010,268,237,6,0,511,11,522,822
6401200-011,1308,707,12,0,2027,28,2055,3138
6401200-012,2033,1139,24,0,3196,50,3246,4914
6401200-013,878,552,13,0,1443,29,1472,2255
6401200-014,2128,1554,39,0,3721,67,3788,5680
6401200-015,542,1949,32,0,2523,40,2563,3692
6401200-016,2168,803,31,0,3002,55,3057,4464
6401200-017,3014,1084,33,0,4131,55,4186,6465
6401200-018,1738,1306,32,0,3076,60,3136,4792
6401200-019,1660,1081,25,0,2766,31,2797,4249
6401200-020,1233,922,14,0,2169,30,2199,3330
6401200-021,674,368,15,0,1057,22,1079,2449
6401200-022,851,951,11,0,1813,30,1843,3033
6401200-024,1465,575,19,0,2059,38,2097,3052
6401200-025,1248,508,10,0,1766,21,1787,2789
6401200-026,2107,899,26,0,3032,39,3071,4484
6401200-027,3000,994,43,0,4037,49,4086,5892
6401200-028,1535,482,17,0,2034,41,2075,3169
6401200-029,2752,970,31,0,3753,45,3798,5537
6401200-030,1653,1549,30,0,3232,61,3293,5293
6401200-031,1454,1226,21,0,2701,44,2745,4410
6401200-032,1605,552,17,0,2174,32,2206,3395
6401200-033,2182,985,29,0,3196,37,3233,4825
6401200-034,1548,905,35,0,2488,42,2530,3804
6401200-035,2107,1239,20,0,3366,56,3422,5369
6401200-036,1867,835,30,0,2732,40,2772,3994
6401200-037,1333,819,22,0,2174,29,2203,3317
6401200-038,1125,411,10,0,1546,17,1563,2528
6401200-039,2753,1814,44,0,4611,45,4656,7825
6401200-040,4299,1811,58,0,6168,75,6243,10339
6401200-041,727,455,14,0,1196,14,1210,2010
6401200-042,1288,924,27,0,2239,34,2273,3490
6401200-043,1403,507,9,0,1919,24,1943,2937
6401200-044,2010,1349,37,0,3396,56,3452,5473
6401200-045,703,697,21,0,1421,32,1453,1964
6401200-046,1935,1162,33,0,3130,47,3177,4759
6401200-047,1265,1084,23,0,2372,48,2420,3537
6401200-048,2617,1081,40,0,3738,46,3784,5763
6401200-049,1601,519,22,0,2142,29,2171,3433
6401200-050,719,765,13,0,1497,23,1520,2114
6401200-051,405,278,11,0,694,11,705,1014
6401200-053,1665,923,21,0,2609,40,2649,3982
6401200-054,781,303,9,0,1093,29,1122,2359
6401200-055,3536,1078,48,0,4662,62,4724,6903
6401200-056,2456,2184,44,0,4684,83,4767,7845
6401200-057,1949,634,21,0,2604,42,2646,4108
6401200-058,1118,524,17,0,1659,24,1683,2616
6401200-059,1326,812,20,0,2158,31,2189,3724
6401200-060,3048,1936,66,0,5050,57,5107,8399
6401200-061,460,660,10,0,1130,21,1151,1855
6401200-062,777,763,7,0,1547,32,1579,2568
6401200-063,1043,621,21,0,1685,34,1719,2438
6401200-064,1045,435,10,0,1490,12,1502,2298
6401200-065,1589,777,26,0,2392,29,2421,3561
6401200-066,1054,440,15,0,1509,23,1532,2169
6401200-067,1684,829,22,0,2535,35,2570,4084
6401200-068,1511,744,23,0,2278,23,2301,3696
6401200-069,998,542,18,0,1558,29,1587,2348
6401200-070,1892,898,19,0,2809,48,2857,4216
6401200-071,1878,715,16,0,2609,25,2634,4181
6401200-072,2182,757,33,0,2972,31,3003,4301
6401200-073,1374,445,16,0,1835,16,1851,2755
6401200-074,1101,423,11,0,1535,19,1554,2316
6401200-075,2122,777,18,0,2917,42,2959,5093
6401200-076,1267,460,18,0,1745,19,1764,2559
6401200-077,1265,349,14,0,1628,19,1647,2629
6401200-078,2359,926,24,0,3309,40,3349,4747
